,time,position,Latitude,Longitude,rate of flow,y
32740,1357119900,24800,44.3,37.82571,0,0
32741,1357119900,24901,7.1,37.82446,0,0
32742,1357120200,200,12.4,37.88613,97,1
32743,1357120200,201,12.4,37.88613,14,0
32744,1357120200,300,7.6,37.82503,16,0
32745,1357120200,301,7.6,37.82503,0,0
32746,1357120200,500,41.8,37.79847,80,1
32747,1357120200,501,0,37.79847,15,0
32748,1357120200,700,0,37.82315,28,0
32749,1357120200,701,0,37.82315,80,1
32750,1357120200,900,23.3,38.0136,0,0
32751,1357120200,901,23.3,38.0136,0,0
32752,1357120200,1100,26.4,38.04814,17,0
32753,1357120200,1101,26.4,38.04814,11,0
32754,1357120200,1600,43,38.2377,61,0
32755,1357120200,1601,43,38.2377,30,0
32756,1357120200,2500,39.8,38.21203,1,0
32757,1357120200,2501,39.8,38.21203,12,0
32758,1357120200,3100,15.7,37.92863,28,0
32759,1357120200,3101,15.7,37.92863,50,0
32760,1357120200,3400,9.4,37.84243,58,0
32761,1357120200,3401,9.4,37.84243,54,0
32762,1357120200,3501,8,37.82643,82,1
32763,1357120200,3502,8,37.82643,6,0
32764,1357120200,3700,62.1,37.82681,41,0
32765,1357120200,3701,62.3,37.82681,32,0
32766,1357120200,4100,491,38.46715,25,0
32767,1357120200,4201,491.5,38.48228,7,0
32768,1357120200,4300,488.1,38.42716,37,0
32769,1357120200,4301,487.4,38.42716,25,0
32770,1357120200,4600,459.6,38.07004,66,0
32771,1357120200,4601,458.9,38.07004,37,0
32772,1357120200,4800,444.9,37.87533,0,0
32773,1357120200,4801,444.3,37.87533,0,0
32774,1357120200,5001,438.5,37.80422,0,0
32775,1357120200,5100,438.4,37.80355,0,0
32776,1357120200,5200,430.5,37.7384,24,0
32777,1357120200,5201,430.5,37.7384,123,1
32778,1357120200,5300,420.8,37.60882,4,0
32779,1357120200,5301,420.9,37.60882,21,0
32780,1357120200,6000,74.7,37.94502,14,0
32781,1357120200,6001,74.7,37.94502,58,0
32782,1357120200,6700,49.4,37.70014,86,1
32783,1357120200,6701,49.4,37.70014,29,0
32784,1357120200,8000,24.7,37.63284,59,0
32785,1357120200,8001,24.7,37.63284,35,0
32786,1357120200,8101,13.8,37.55885,23,0
32787,1357120200,8200,13.5,37.55586,81,1
32788,1357120200,8300,8.9,37.51602,0,0
32789,1357120200,8301,8.9,37.51602,0,0
32790,1357120200,8500,33.4,37.53623,27,0
32791,1357120200,8501,33.3,37.53623,13,0
32792,1357120200,8600,403.9,37.46793,49,0
32793,1357120200,8601,404,37.46793,22,0
32794,1357120200,10101,475.9,38.2734,0,0
32795,1357120200,10200,476.2,38.2705,0,0
32796,1357120200,10400,441.8,37.83769,0,0
32797,1357120200,10401,441.1,37.83769,0,0
32798,1357120200,11000,69.5,38.51425,10,0
32799,1357120200,11001,69.6,38.51425,11,0
32800,1357120200,11100,31.3,38.11394,25,0
32801,1357120200,11101,31.3,38.11394,50,0
32802,1357120200,11200,29.1,38.08266,69,0
32803,1357120200,12000,70.4,38.21539,26,0
32804,1357120200,12001,70.5,38.21539,7,0
32805,1357120200,12700,5.4,37.8671,0,0
32806,1357120200,12701,5.4,37.8671,0,0
32807,1357120200,12800,3.8,37.85317,0,0
32808,1357120200,12801,3.8,37.85317,0,0
32809,1357120200,13000,55,37.78249,30,0
32810,1357120200,13001,55.1,37.78249,55,0
32811,1357120200,13100,47.2,37.6949,0,0
32812,1357120200,13101,47.4,37.6949,0,0
32813,1357120200,13200,37.1,37.69951,76,1
32814,1357120200,13301,36.6,37.70215,4,0
32815,1357120200,13400,28.8,37.70007,36,0
32816,1357120200,13501,28.5,37.70177,23,0
32817,1357120200,13600,17,37.741573,24,0
32818,1357120200,13601,17.1,37.741573,4,0
32819,1357120200,14000,55.9,37.75432,20,0
32820,1357120200,14001,55.9,37.75432,34,0
32821,1357120200,14100,53.2,37.73138,19,0
32822,1357120200,14101,53.2,37.73138,23,0
32823,1357120200,14200,44,37.6318,24,0
32824,1357120200,14201,44,37.6318,44,0
32825,1357120200,14800,0.5,37.3346,0,0
32826,1357120200,14801,0.5,37.3346,0,0
32827,1357120200,14901,26.7,37.44357,0,0
32828,1357120200,15000,28.7,37.46132,0,0
32829,1357120200,15001,28.7,37.46132,0,0
32830,1357120200,15500,56.7,37.77468,12,0
32831,1357120200,15501,56.7,37.77468,24,0
32832,1357120200,15600,4.9,37.84315,30,0
32833,1357120200,15601,4.9,37.84315,34,0
32834,1357120200,15900,414.8,37.56095,57,0
32835,1357120200,15901,414.8,37.56095,63,0
32836,1357120200,16100,25.9,37.48541,12,0
32837,1357120200,16101,25.9,37.48541,13,0
32838,1357120200,16200,76.3,37.96091,0,0
32839,1357120200,16900,13.8,38.00225,0,0
32840,1357120200,16901,13.8,38.00225,0,0
32841,1357120200,17000,25.5,38.00509,0,0
32842,1357120200,17300,7.5,37.8243,79,1
32843,1357120200,17401,17,37.52666,39,0
32844,1357120200,17500,16.8,37.52541,25,0
32845,1357120200,17600,8,37.42018,0,0
32846,1357120200,17601,8,37.42018,0,0
32847,1357120200,17700,29.3,37.69635,0,0
32848,1357120200,17701,29.3,37.69635,0,0
32849,1357120200,17800,21.2,37.59089,31,0
32850,1357120200,17801,21.2,37.59089,14,0
32851,1357120200,17900,5,37.39846,0,0
32852,1357120200,17901,5,37.39846,5,0
32853,1357120200,18000,5.1,37.39987,14,0
32854,1357120200,18001,5.1,37.39987,0,0
32855,1357120200,18200,18.7,38.1345,16,0
32856,1357120200,18201,18.7,38.1345,5,0
32857,1357120200,18300,7.2,38.15003,0,0
32858,1357120200,18301,7.2,38.15003,0,0
32859,1357120200,18400,27.8,37.99835,0,0
32860,1357120200,18401,27.8,37.99835,0,0
32861,1357120200,18700,397.4,37.40739,0,0
32862,1357120200,18701,397.4,37.40739,0,0
32863,1357120200,18801,0.2,37.78643,0,0
32864,1357120200,20100,439.8,37.74557,19,0
32865,1357120200,20101,439.7,37.74557,30,0
32866,1357120200,20200,442.9,37.78519,42,0
32867,1357120200,20201,442.9,37.78519,47,0
32868,1357120200,20300,437.2,37.79893,27,0
32869,1357120200,20301,436.7,37.79893,15,0
32870,1357120200,20400,436.3,37.80107,0,0
32871,1357120200,20401,435.8,37.80107,0,0
32872,1357120200,20500,1.1,37.777,0,0
32873,1357120200,20501,1.2,37.777,0,0
32874,1357120200,20600,436.3,37.801135,14,0
32875,1357120200,20801,435.8,37.801041,11,0
32876,1357120200,21200,450.2,37.94784,19,0
32877,1357120200,21201,449.5,37.94784,74,1
32878,1357120200,21300,12.9,37.89692,92,1
32879,1357120200,21301,12.9,37.89692,24,0
32880,1357120200,22100,0.2,37.46783,3,0
32881,1357120200,22101,0.2,37.46783,4,0
32882,1357120200,22103,0.2,37.46783,1,0
32883,1357120200,22200,7.2,37.51178,3,0
32884,1357120200,22201,40.2,37.51178,12,0
32885,1357120200,22400,407.7,37.35975,0,0
32886,1357120200,22401,407.7,37.35975,0,0
32887,1357120200,24000,69.9,37.93196,56,0
32888,1357120200,24001,69.8,37.93196,65,0
32889,1357120200,24200,55.9,38.02464,81,1
32890,1357120200,24201,55.9,38.02464,6,0
32891,1357120200,24700,433.2,37.769647,17,0
32892,1357120200,24701,433.9,37.769647,0,0
32893,1357120200,24800,44.3,37.82571,0,0
32894,1357120200,24901,7.1,37.82446,0,0
32895,1357120500,200,12.4,37.88613,79,1
32896,1357120500,201,12.4,37.88613,12,0
32897,1357120500,300,7.6,37.82503,6,0
32898,1357120500,301,7.6,37.82503,0,0
32899,1357120500,500,41.8,37.79847,92,1
32900,1357120500,501,0,37.79847,18,0
32901,1357120500,700,0,37.82315,36,0
32902,1357120500,701,0,37.82315,58,0
32903,1357120500,900,23.3,38.0136,0,0
32904,1357120500,901,23.3,38.0136,0,0
32905,1357120500,1100,26.4,38.04814,22,0
32906,1357120500,1101,26.4,38.04814,8,0
32907,1357120500,1600,43,38.2377,47,0
32908,1357120500,1601,43,38.2377,30,0
32909,1357120500,2500,39.8,38.21203,1,0
32910,1357120500,2501,39.8,38.21203,7,0
32911,1357120500,3100,15.7,37.92863,27,0
32912,1357120500,3101,15.7,37.92863,51,0
32913,1357120500,3400,9.4,37.84243,69,0
32914,1357120500,3401,9.4,37.84243,83,1
32915,1357120500,3501,8,37.82643,116,1
32916,1357120500,3502,8,37.82643,12,0
32917,1357120500,3700,62.1,37.82681,41,0
32918,1357120500,3701,62.3,37.82681,36,0
32919,1357120500,4100,491,38.46715,31,0
32920,1357120500,4201,491.5,38.48228,14,0
32921,1357120500,4300,488.1,38.42716,27,0
32922,1357120500,4301,487.4,38.42716,19,0
32923,1357120500,4600,459.6,38.07004,72,1
32924,1357120500,4601,458.9,38.07004,28,0
32925,1357120500,4800,444.9,37.87533,0,0
32926,1357120500,4801,444.3,37.87533,0,0
32927,1357120500,5001,438.5,37.80422,0,0
32928,1357120500,5100,438.4,37.80355,0,0
32929,1357120500,5200,430.5,37.7384,36,0
32930,1357120500,5201,430.5,37.7384,92,1
32931,1357120500,5300,420.8,37.60882,5,0
32932,1357120500,5301,420.9,37.60882,44,0
32933,1357120500,6000,74.7,37.94502,10,0
32934,1357120500,6001,74.7,37.94502,65,0
32935,1357120500,6700,49.4,37.70014,97,1
32936,1357120500,6701,49.4,37.70014,34,0
32937,1357120500,8000,24.7,37.63284,43,0
32938,1357120500,8001,24.7,37.63284,36,0
32939,1357120500,8101,13.8,37.55885,23,0
32940,1357120500,8200,13.5,37.55586,78,1
32941,1357120500,8300,8.9,37.51602,0,0
32942,1357120500,8301,8.9,37.51602,0,0
32943,1357120500,8500,33.4,37.53623,29,0
32944,1357120500,8501,33.3,37.53623,14,0
32945,1357120500,8600,403.9,37.46793,53,0
32946,1357120500,8601,404,37.46793,20,0
32947,1357120500,10101,475.9,38.2734,0,0
32948,1357120500,10200,476.2,38.2705,0,0
32949,1357120500,10400,441.8,37.83769,0,0
32950,1357120500,10401,441.1,37.83769,0,0
32951,1357120500,11000,69.5,38.51425,31,0
32952,1357120500,11001,69.6,38.51425,10,0
32953,1357120500,11100,31.3,38.11394,16,0
32954,1357120500,11101,31.3,38.11394,57,0
32955,1357120500,11200,29.1,38.08266,56,0
32956,1357120500,12000,70.4,38.21539,31,0
32957,1357120500,12001,70.5,38.21539,6,0
32958,1357120500,12700,5.4,37.8671,0,0
32959,1357120500,12701,5.4,37.8671,0,0
32960,1357120500,12800,3.8,37.85317,0,0
32961,1357120500,12801,3.8,37.85317,0,0
32962,1357120500,13000,55,37.78249,39,0
32963,1357120500,13001,55.1,37.78249,50,0
32964,1357120500,13100,47.2,37.6949,0,0
32965,1357120500,13101,47.4,37.6949,0,0
32966,1357120500,13200,37.1,37.69951,82,1
32967,1357120500,13301,36.6,37.70215,15,0
32968,1357120500,13400,28.8,37.70007,25,0
32969,1357120500,13501,28.5,37.70177,24,0
32970,1357120500,13600,17,37.741573,19,0
32971,1357120500,13601,17.1,37.741573,14,0
32972,1357120500,14000,55.9,37.75432,31,0
32973,1357120500,14001,55.9,37.75432,29,0
32974,1357120500,14100,53.2,37.73138,29,0
32975,1357120500,14101,53.2,37.73138,24,0
32976,1357120500,14200,44,37.6318,29,0
32977,1357120500,14201,44,37.6318,40,0
32978,1357120500,14800,0.5,37.3346,0,0
32979,1357120500,14801,0.5,37.3346,0,0
32980,1357120500,14901,26.7,37.44357,0,0
32981,1357120500,15000,28.7,37.46132,0,0
32982,1357120500,15001,28.7,37.46132,0,0
32983,1357120500,15500,56.7,37.77468,12,0
32984,1357120500,15501,56.7,37.77468,20,0
32985,1357120500,15600,4.9,37.84315,30,0
32986,1357120500,15601,4.9,37.84315,35,0
32987,1357120500,15900,414.8,37.56095,70,0
32988,1357120500,15901,414.8,37.56095,86,1
32989,1357120500,16100,25.9,37.48541,11,0
32990,1357120500,16101,25.9,37.48541,9,0
32991,1357120500,16200,76.3,37.96091,0,0
32992,1357120500,16900,13.8,38.00225,0,0
32993,1357120500,16901,13.8,38.00225,0,0
32994,1357120500,17000,25.5,38.00509,0,0
32995,1357120500,17300,7.5,37.8243,71,1
32996,1357120500,17401,17,37.52666,32,0
32997,1357120500,17500,16.8,37.52541,25,0
32998,1357120500,17600,8,37.42018,0,0
32999,1357120500,17601,8,37.42018,0,0
33000,1357120500,17700,29.3,37.69635,0,0
33001,1357120500,17701,29.3,37.69635,0,0
33002,1357120500,17800,21.2,37.59089,30,0
33003,1357120500,17801,21.2,37.59089,11,0
33004,1357120500,17900,5,37.39846,0,0
33005,1357120500,17901,5,37.39846,2,0
33006,1357120500,18000,5.1,37.39987,4,0
33007,1357120500,18001,5.1,37.39987,0,0
33008,1357120500,18200,18.7,38.1345,17,0
33009,1357120500,18201,18.7,38.1345,3,0
33010,1357120500,18300,7.2,38.15003,0,0
33011,1357120500,18301,7.2,38.15003,0,0
33012,1357120500,18400,27.8,37.99835,0,0
33013,1357120500,18401,27.8,37.99835,0,0
33014,1357120500,18700,397.4,37.40739,0,0
33015,1357120500,18701,397.4,37.40739,0,0
